timestamp_utc,market_id,open,high,low,close,volume,trade_count,schema_version
2026-01-21T00:00:00Z,1201420,0.18,0.18,0.18,0.18,,,pm_bars_history_v1.0
2026-01-21T01:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T02:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T03:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T04:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T05:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T06:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T07:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T08:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T09:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T10:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T11:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T12:00:00Z,1201420,0.13,0.13,0.13,0.13,,,pm_bars_history_v1.0
2026-01-21T13:00:00Z,1201420,0.13,0.13,0.13,0.13,,,pm_bars_history_v1.0
2026-01-21T14:00:00Z,1201420,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-21T15:00:00Z,1201420,0.095,0.095,0.095,0.095,,,pm_bars_history_v1.0
2026-01-21T16:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T17:00:00Z,1201420,0.03,0.03,0.03,0.03,,,pm_bars_history_v1.0
2026-01-21T18:00:00Z,1201420,0.4575,0.4575,0.4575,0.4575,,,pm_bars_history_v1.0
2026-01-21T19:00:00Z,1201420,0.0195,0.0195,0.0195,0.0195,,,pm_bars_history_v1.0
2026-01-21T20:00:00Z,1201420,0.025,0.025,0.025,0.025,,,pm_bars_history_v1.0
2026-01-21T21:00:00Z,1201420,0.071,0.071,0.071,0.071,,,pm_bars_history_v1.0
2026-01-21T22:00:00Z,1201420,0.0655,0.0655,0.0655,0.0655,,,pm_bars_history_v1.0
2026-01-21T23:00:00Z,1201420,0.0655,0.0655,0.0655,0.0655,,,pm_bars_history_v1.0
2026-01-21T00:00:00Z,1201420,0.18,0.18,0.18,0.18,,,pm_bars_history_v1.0
2026-01-21T01:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T02:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T03:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T04:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T05:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T06:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T07:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T08:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T09:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T10:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T11:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T12:00:00Z,1201420,0.13,0.13,0.13,0.13,,,pm_bars_history_v1.0
2026-01-21T13:00:00Z,1201420,0.13,0.13,0.13,0.13,,,pm_bars_history_v1.0
2026-01-21T14:00:00Z,1201420,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-21T15:00:00Z,1201420,0.095,0.095,0.095,0.095,,,pm_bars_history_v1.0
2026-01-21T16:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T17:00:00Z,1201420,0.03,0.03,0.03,0.03,,,pm_bars_history_v1.0
2026-01-21T18:00:00Z,1201420,0.4575,0.4575,0.4575,0.4575,,,pm_bars_history_v1.0
2026-01-21T19:00:00Z,1201420,0.0195,0.0195,0.0195,0.0195,,,pm_bars_history_v1.0
2026-01-21T20:00:00Z,1201420,0.025,0.025,0.025,0.025,,,pm_bars_history_v1.0
2026-01-21T21:00:00Z,1201420,0.071,0.071,0.071,0.071,,,pm_bars_history_v1.0
2026-01-21T22:00:00Z,1201420,0.0655,0.0655,0.0655,0.0655,,,pm_bars_history_v1.0
2026-01-21T23:00:00Z,1201420,0.0655,0.0655,0.0655,0.0655,,,pm_bars_history_v1.0
2026-01-21T00:00:00Z,1201420,0.18,0.18,0.18,0.18,,,pm_bars_history_v1.0
2026-01-21T01:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T02:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T03:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T04:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T05:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T06:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T07:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T08:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T09:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T10:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T11:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T12:00:00Z,1201420,0.13,0.13,0.13,0.13,,,pm_bars_history_v1.0
2026-01-21T13:00:00Z,1201420,0.13,0.13,0.13,0.13,,,pm_bars_history_v1.0
2026-01-21T14:00:00Z,1201420,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-21T15:00:00Z,1201420,0.095,0.095,0.095,0.095,,,pm_bars_history_v1.0
2026-01-21T16:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T17:00:00Z,1201420,0.03,0.03,0.03,0.03,,,pm_bars_history_v1.0
2026-01-21T18:00:00Z,1201420,0.4575,0.4575,0.4575,0.4575,,,pm_bars_history_v1.0
2026-01-21T19:00:00Z,1201420,0.0195,0.0195,0.0195,0.0195,,,pm_bars_history_v1.0
2026-01-21T20:00:00Z,1201420,0.025,0.025,0.025,0.025,,,pm_bars_history_v1.0
2026-01-21T21:00:00Z,1201420,0.071,0.071,0.071,0.071,,,pm_bars_history_v1.0
2026-01-21T22:00:00Z,1201420,0.0655,0.0655,0.0655,0.0655,,,pm_bars_history_v1.0
2026-01-21T23:00:00Z,1201420,0.0655,0.0655,0.0655,0.0655,,,pm_bars_history_v1.0
2026-01-21T00:00:00Z,1201420,0.18,0.18,0.18,0.18,,,pm_bars_history_v1.0
2026-01-21T01:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T02:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T03:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T04:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T05:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T06:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T07:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T08:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T09:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T10:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T11:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T12:00:00Z,1201420,0.13,0.13,0.13,0.13,,,pm_bars_history_v1.0
2026-01-21T13:00:00Z,1201420,0.13,0.13,0.13,0.13,,,pm_bars_history_v1.0
2026-01-21T14:00:00Z,1201420,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-21T15:00:00Z,1201420,0.095,0.095,0.095,0.095,,,pm_bars_history_v1.0
2026-01-21T16:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T17:00:00Z,1201420,0.03,0.03,0.03,0.03,,,pm_bars_history_v1.0
2026-01-21T18:00:00Z,1201420,0.4575,0.4575,0.4575,0.4575,,,pm_bars_history_v1.0
2026-01-21T19:00:00Z,1201420,0.0195,0.0195,0.0195,0.0195,,,pm_bars_history_v1.0
2026-01-21T20:00:00Z,1201420,0.025,0.025,0.025,0.025,,,pm_bars_history_v1.0
2026-01-21T21:00:00Z,1201420,0.071,0.071,0.071,0.071,,,pm_bars_history_v1.0
2026-01-21T22:00:00Z,1201420,0.0655,0.0655,0.0655,0.0655,,,pm_bars_history_v1.0
2026-01-21T23:00:00Z,1201420,0.0655,0.0655,0.0655,0.0655,,,pm_bars_history_v1.0
2026-01-21T00:00:00Z,1201420,0.18,0.18,0.18,0.18,,,pm_bars_history_v1.0
2026-01-21T01:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T02:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T03:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T04:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T05:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T06:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T07:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T08:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T09:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T10:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T11:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T12:00:00Z,1201420,0.13,0.13,0.13,0.13,,,pm_bars_history_v1.0
2026-01-21T13:00:00Z,1201420,0.13,0.13,0.13,0.13,,,pm_bars_history_v1.0
2026-01-21T14:00:00Z,1201420,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-21T15:00:00Z,1201420,0.095,0.095,0.095,0.095,,,pm_bars_history_v1.0
2026-01-21T16:00:00Z,1201420,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-01-21T17:00:00Z,1201420,0.03,0.03,0.03,0.03,,,pm_bars_history_v1.0
2026-01-21T18:00:00Z,1201420,0.4575,0.4575,0.4575,0.4575,,,pm_bars_history_v1.0
2026-01-21T19:00:00Z,1201420,0.0195,0.0195,0.0195,0.0195,,,pm_bars_history_v1.0
2026-01-21T20:00:00Z,1201420,0.025,0.025,0.025,0.025,,,pm_bars_history_v1.0
2026-01-21T21:00:00Z,1201420,0.071,0.071,0.071,0.071,,,pm_bars_history_v1.0
2026-01-21T22:00:00Z,1201420,0.0655,0.0655,0.0655,0.0655,,,pm_bars_history_v1.0
2026-01-21T23:00:00Z,1201420,0.0655,0.0655,0.0655,0.0655,,,pm_bars_history_v1.0
