label,bin,bin_lo,bin_hi,n,weight_sum,avg_pred,emp_rate
val_pool__baseline_pRN,1,0.0,0.06666666666666667,0,0.0,,
val_pool__baseline_pRN,2,0.06666666666666667,0.13333333333333333,150,0.038149972933592985,0.11499148115793223,0.04198439659825134
val_pool__baseline_pRN,3,0.13333333333333333,0.2,248,0.06168518137820079,0.1654841930819874,0.07733798319406951
val_pool__baseline_pRN,4,0.2,0.26666666666666666,220,0.05703216315748669,0.236075420136892,0.12077631562602767
val_pool__baseline_pRN,5,0.26666666666666666,0.3333333333333333,182,0.04348818896158012,0.30163400938661356,0.20804165218583828
val_pool__baseline_pRN,6,0.3333333333333333,0.4,183,0.046882019986924706,0.36627023913132034,0.28679420727353316
val_pool__baseline_pRN,7,0.4,0.4666666666666667,180,0.0451602237033424,0.42991905386842766,0.3049113477223871
val_pool__baseline_pRN,8,0.4666666666666667,0.5333333333333333,197,0.04762942516888964,0.5005235298825543,0.42581746141751103
val_pool__baseline_pRN,9,0.5333333333333333,0.6,205,0.04917941250796892,0.5628747625938819,0.4960355128646923
val_pool__baseline_pRN,10,0.6,0.6666666666666666,276,0.05827431217339733,0.6341048359059155,0.6559654102641503
val_pool__baseline_pRN,11,0.6666666666666666,0.7333333333333333,303,0.06549777492085085,0.7031363641104261,0.7176517509359
val_pool__baseline_pRN,12,0.7333333333333333,0.8,294,0.06358396515943245,0.7647061873314858,0.7635738617314581
val_pool__baseline_pRN,13,0.8,0.8666666666666667,423,0.0944396274123967,0.8342367217002873,0.8578161691810295
val_pool__baseline_pRN,14,0.8666666666666667,0.9333333333333333,326,0.07218759475081496,0.8854603868878034,0.9223716740459491
val_pool__baseline_pRN,15,0.9333333333333333,1.0,0,0.0,,
val_pool__logit_C=0.5,1,0.0,0.06666666666666667,49,0.014576460492635725,0.0570838754365026,0.03943570336103304
val_pool__logit_C=0.5,2,0.06666666666666667,0.13333333333333333,343,0.08939960489230575,0.09394542289573975,0.06684559209971949
val_pool__logit_C=0.5,3,0.13333333333333333,0.2,247,0.06459165387774302,0.1647545601878859,0.15363659226818696
val_pool__logit_C=0.5,4,0.2,0.26666666666666666,159,0.035789748705056496,0.2317562026454751,0.17635308585081533
val_pool__logit_C=0.5,5,0.26666666666666666,0.3333333333333333,157,0.03984920114199263,0.2985495547438747,0.28877109016880265
val_pool__logit_C=0.5,6,0.3333333333333333,0.4,138,0.03476056762872939,0.365405703588525,0.290000090447606
val_pool__logit_C=0.5,7,0.4,0.4666666666666667,124,0.025185744502281907,0.4362551871877421,0.3183658261553685
val_pool__logit_C=0.5,8,0.4666666666666667,0.5333333333333333,130,0.02944440789211155,0.4959147388422943,0.49492733561023716
val_pool__logit_C=0.5,9,0.5333333333333333,0.6,142,0.035272264155030514,0.5638222573371098,0.506654113869123
val_pool__logit_C=0.5,10,0.6,0.6666666666666666,159,0.03241714198209047,0.6324741202015572,0.5687278803085672
