label,bin,bin_lo,bin_hi,n,weight_sum,avg_pred,emp_rate
val_pool__baseline_pRN,1,0.0,0.06666666666666667,0,0.0,,
val_pool__baseline_pRN,2,0.06666666666666667,0.13333333333333333,150,0.038149972933592985,0.11499148115793223,0.04198439659825134
val_pool__baseline_pRN,3,0.13333333333333333,0.2,248,0.06168518137820079,0.1654841930819874,0.07733798319406951
val_pool__baseline_pRN,4,0.2,0.26666666666666666,220,0.05703216315748669,0.236075420136892,0.12077631562602767
val_pool__baseline_pRN,5,0.26666666666666666,0.3333333333333333,182,0.04348818896158012,0.30163400938661356,0.20804165218583828
val_pool__baseline_pRN,6,0.3333333333333333,0.4,183,0.046882019986924706,0.36627023913132034,0.28679420727353316
val_pool__baseline_pRN,7,0.4,0.4666666666666667,180,0.0451602237033424,0.42991905386842766,0.3049113477223871
val_pool__baseline_pRN,8,0.4666666666666667,0.5333333333333333,197,0.04762942516888964,0.5005235298825543,0.42581746141751103
val_pool__baseline_pRN,9,0.5333333333333333,0.6,205,0.04917941250796892,0.5628747625938819,0.4960355128646923
val_pool__baseline_pRN,10,0.6,0.6666666666666666,276,0.05827431217339733,0.6341048359059155,0.6559654102641503
val_pool__baseline_pRN,11,0.6666666666666666,0.7333333333333333,303,0.06549777492085085,0.7031363641104261,0.7176517509359
val_pool__baseline_pRN,12,0.7333333333333333,0.8,294,0.06358396515943245,0.7647061873314858,0.7635738617314581
val_pool__baseline_pRN,13,0.8,0.8666666666666667,423,0.0944396274123967,0.8342367217002873,0.8578161691810295
val_pool__baseline_pRN,14,0.8666666666666667,0.9333333333333333,326,0.07218759475081496,0.8854603868878034,0.9223716740459491
val_pool__baseline_pRN,15,0.9333333333333333,1.0,0,0.0,,
val_pool__logit_C=5,1,0.0,0.06666666666666667,16,0.009388114929093123,0.053965007367526366,0.0
val_pool__logit_C=5,2,0.06666666666666667,0.13333333333333333,263,0.0723579773204545,0.10388711220547918,0.05169463012802784
val_pool__logit_C=5,3,0.13333333333333333,0.2,234,0.05644981537911323,0.1666052433466587,0.1124073900695736
val_pool__logit_C=5,4,0.2,0.26666666666666666,196,0.04711616209454074,0.22843989430121306,0.18494538245756995
val_pool__logit_C=5,5,0.26666666666666666,0.3333333333333333,162,0.039932128334893874,0.2995652210843712,0.2036258988993929
val_pool__logit_C=5,6,0.3333333333333333,0.4,152,0.04015287349642055,0.36423595976470047,0.33603719730562653
val_pool__logit_C=5,7,0.4,0.4666666666666667,143,0.03140340166084816,0.4327948688307278,0.3888304571539675
val_pool__logit_C=5,8,0.4666666666666667,0.5333333333333333,168,0.03819777409955038,0.5024795036080035,0.4331688513895546
val_pool__logit_C=5,9,0.5333333333333333,0.6,148,0.034949510209364563,0.5657410696340297,0.49631599208502175
val_pool__logit_C=5,10,0.6,0.6666666666666666,190,0.03702298240221576,0.6304897437672699,0.5599689290430944
